DL_START: -1782><375><-2138><-94><1><
GATE_OE_DL: -1881><268.5><-1652><-94><1><
GATE_DL_AL: 3624><-72><1996.12><-277.34><1><Dustbowl
DL_01: -558><-120><-1187.65><-198.669><0><Conurbation
DL_02: 60><57><-649.394><-167.769><0><Conurbation
DL_S02: 249><112.5><-384.046><-4.4476><1><
DL_03: -234><-21><-889.948><52.9746><1><Conurbation
DL_04: -210><148.5><-923.462><205.816><1><Conurbation
DL_05: 15><238.5><-661.232><188.374><1><Conurbation
DL_06: 183><537><-553.99><507.02><1><Conurbation
DL_07: 387><373.5><-445.136><356.264><1><Conurbation
DL_08: 681><72><-312.12><-230.58><0><Dustbowl
DL_09: 1386><-69><254.562><-220.136><0><Dustbowl
DL_10: 696><-72><-253.616><168.22><1><Dustbowl
DL_11: 1110><-180><177.852><17.2156><1><Dustbowl
DL_12: 1335><60><368.088><184.464><1><Dustbowl
DL_13: 1591.5><148.5><776.004><103.22><2><Dustbowl
DL_14: 1776><-73.5><820.884><-104.936><1><Dustbowl
DL_15: 1713><241.5><933.634><493.42><1><Dustbowl
DL_16: 1650><-285><846.398><-410.99><0><Dustbowl
DL_17: 1692><-421.5><852><-542><1><Dustbowl
DL_18: 2316><-265.5><1167.19><-270.869><0><Dustbowl
DL_19: 2028><72><1119.57><274.994><2><Dustbowl
DL_20: 2547><34.5><1511.71><212.22><2><Dustbowl
DL_21: 2811><-127.5><1246.06><-107.384><0><Dustbowl
DL_22: 3289.5><-118.5><1888.48><-86.051><1><Dustbowl
DL_S22: 3432><-105><2173.82><-100.669><2><
DL_23: 181.5><910.5><-547.722><761.26><1><Conurbation
DL_24: 1332><-225><636><-390><0><Dustbowl
DL_25: 609><-144><10><-362><0><Dustbowl
DL_26: 588><343.5><-181.377><606.174><2><Conurbation
DL_S26: 348><262.5><-230.348><425.242><2><
DL_27: 990><231><161.006><548.972><2><Dustbowl
DL_28: 1377><256.5><480.45><516.972><1><Dustbowl
DL_29: 2272.5><318><1438.23><597.26><2><Dustbowl
DL_30: 3036><-37.5><1962.6><169.388><2><Dustbowl
DL_31: -225><-276><-841.934><-508.934><1><Conurbation
DL_32: 132><-15><-515.856><199.344><1><Conurbation
DL_33: -798><-210><-1339.93><-195.29><0><
DL_34: -873><-58.5><-1508.5><-208.936><0><The Pass
