<<<<<<< Updated upstream
GATE_DL_AU: -111><-97.5><-146><-102><1><
AU_EXTRA: 312><-81><0><-76><0><
AU_SGOODBYE: 351><-243><32><-198><0><
OffScreenDen_AU: 1068><789><-529.856><56.3426><1><
AU_Teaser: 93><-105><0><-70><0><
Connection: GATE_DL_AU,AU_Teaser,36,5,7,17,3,2
Connection: AU_EXTRA,AU_Teaser,4,10,64,19,2,0
Connection: AU_EXTRA,AU_SGOODBYE,49,2,33,30,3,1
=======
AU_B06: 264><-849><135.422><-909.36><0><
AU_DL_AU: -561><-114><-747><-7.5><0><
AU_A01: -459><-240><-633><-163.5><0><
AU_C05: -396><-384><-579><-394.5><0><
AU_A03: -225><-387><-384><-421.5><0><
AU_S01: -372><-114><-507><-4.5><0><
AU_B02: -57><-411><-213><-430.5><0><
AU_C01: 177><-483><-24><-430.5><0><
AU_B01: -129><-546><-276><-643.5><0><
AU_B03: 186><-684><57><-646.5><0><
AU_A04: -84><-672><-207><-802.5><0><
AU_A05: 438><-831><327><-916.5><0><
AU_A16: 432><-699><315><-768><0><
AU_A17: 426><-558><315><-625.5><0><
AU_B04: 207><-318><72><-304.5><0><
AU_B05: -183><-237><-319.5><-295.5><0><
AU_D01: 639><-339><505.5><-363><0><
AU_B07: 1041><-249><888><-232.5><0><
AU_A12: 1041><-75><888><-22.5><0><
AU_B08: 1224><24><1119><91.5><0><
AU_A14: 1386><45><1323><127.5><0><
AU_B14: 1647><63><1614><130.5><0><
AU_AL_AU: 1482><171><1482><298.5><0><
AU_A13: 1653><-81><1632><-87><0><
AU_C03: 1905><90><1965><136.5><0><
AU_S03: 1398><-120><1098><-79.5><0><
AU_A15: 2040><-78><2133><-163.5><0><
AU_D02: 1545><-228><1434><-253.5><0><
AU_C04: 1836><-201><1635><-253.5><0><
AU_A10: 1845><-384><1644><-403.5><0><
AU_B10: 1545><-489><1296><-493.5><0><
AU_A07: 1530><-687><1293><-679.5><0><Groundwater Intake
AU_B09: 1542><-882><1281><-876><0><Groundwater Intake
AU_C06: 813><-618><552><-865.5><0><Groundwater Intake
AU_C02: 1281><-702><984><-856.5><0><Groundwater Intake
AU_D04: 1275><-465><975><-592.5><0><
AU_S02: 291><-417><120><-427.5><0><
AU_B11: 1857><-744><1761><-790.5><0><Groundwater Intake
AU_A08: 1707><-675><1506><-847.5><0><Groundwater Intake
AU_B13: 2199><-660><2241><-691.5><0><Groundwater Intake
AU_A11: 2019><-747><1962><-820.5><0><Groundwater Intake
OffScreenDen_au: 108><-64.5><108><-64.5><0><
AU_D03: 2064><-375><0><-310><><
AU_A09: 1851><-510><0><-70><><NONE
AU_B15: 2085><144><0><-150><><NONE
Connection: AU_B06,AU_B03,20,20,75,13,1,3
Connection: AU_B06,AU_A05,25,17,39,15,0,0
Connection: AU_DL_AU,AU_S01,45,14,4,18,0,2
Connection: AU_DL_AU,AU_A01,41,5,7,31,3,1
Connection: AU_A01,AU_C05,40,1,20,18,-1,1
Connection: AU_C05,AU_A03,25,16,5,25,0,2
Connection: AU_A03,AU_B02,41,12,14,20,0,2
Connection: AU_A03,AU_B01,19,9,13,28,3,1
Connection: AU_B02,AU_C01,29,20,13,18,0,2
Connection: AU_C01,AU_A17,23,18,1,23,0,-1
Connection: AU_C01,AU_B03,18,15,77,38,3,2
Connection: AU_B01,AU_A04,63,4,22,21,3,1
Connection: AU_B03,AU_A04,15,31,31,18,1,0
Connection: AU_A05,AU_A16,24,28,24,11,1,3
Connection: AU_A16,AU_A17,33,33,44,5,0,3
Connection: AU_A17,AU_D01,22,33,12,12,2,2
Connection: AU_A17,AU_C06,56,20,15,20,-1,2
Connection: AU_B04,AU_D01,95,28,1,70,0,-1
Connection: AU_B04,AU_B05,11,10,101,14,2,0
Connection: AU_D01,AU_B07,167,75,5,32,0,2
Connection: AU_D01,AU_S02,14,37,31,18,2,0
Connection: AU_B07,AU_A12,25,67,35,3,1,3
Connection: AU_B07,AU_D02,37,40,15,17,0,2
Connection: AU_A12,AU_B08,48,32,9,17,0,2
Connection: AU_B08,AU_A14,39,47,12,20,0,2
Connection: AU_A14,AU_AL_AU,19,23,2,9,1,2
Connection: AU_A14,AU_B14,26,20,4,14,0,2
Connection: AU_A14,AU_S03,19,17,33,14,3,0
Connection: AU_B14,AU_C03,93,31,18,20,0,2
Connection: AU_B14,AU_A13,50,22,23,30,3,1
Connection: AU_A13,AU_B15,39,25,2,57,0,1
Connection: AU_A13,AU_D02,21,14,21,20,3,1
Connection: AU_C03,AU_B15,30,20,10,68,0,2
Connection: AU_A15,AU_B15,43,30,31,9,1,3
Connection: AU_A15,AU_C04,7,16,28,20,2,0
Connection: AU_A15,AU_D03,46,8,40,146,3,1
Connection: AU_D02,AU_C04,27,17,15,20,0,2
Connection: AU_D02,AU_D04,18,14,25,23,3,1
Connection: AU_D02,AU_B10,24,14,13,48,3,2
Connection: AU_C04,AU_A10,22,16,22,26,3,1
Connection: AU_A10,AU_A09,22,19,29,31,3,0
Connection: AU_B10,AU_A07,17,10,23,31,3,1
Connection: AU_A07,AU_B09,14,4,16,76,3,-1
Connection: AU_B09,AU_A08,45,63,10,14,0,3
Connection: AU_B09,AU_C02,2,59,23,21,2,0
Connection: AU_C06,AU_C02,28,20,14,21,0,2
Connection: AU_C02,AU_D04,18,24,25,17,1,3
Connection: AU_B11,AU_A09,26,21,30,2,1,0
Connection: AU_B11,AU_A08,18,18,39,8,2,3
Connection: AU_B11,AU_A11,34,18,15,19,0,2
Connection: AU_B13,AU_A11,8,12,26,19,2,0
Connection: AU_D03,AU_A09,11,26,36,12,3,0
>>>>>>> Stashed changes
